Hbb_bk1,Hbb_bk2,Hbb_bk3,HbO_bk1,HbO_bk2,HOb_bk3,label,User,trial,time
-9.80E-05,-1.26E-04,-2.03E-04,-5.98E-04,-6.16E-04,-4.64E-04,baseline,2,1,-10
-8.48E-05,-1.08E-04,-1.93E-04,-5.24E-04,-5.43E-04,-3.74E-04,baseline,2,1,-9.9
-7.33E-05,-9.76E-05,-1.78E-04,-4.35E-04,-4.69E-04,-3.12E-04,baseline,2,1,-9.8
-6.84E-05,-9.22E-05,-1.63E-04,-3.60E-04,-4.22E-04,-2.97E-04,baseline,2,1,-9.7
-6.91E-05,-8.99E-05,-1.51E-04,-3.22E-04,-4.08E-04,-3.17E-04,baseline,2,1,-9.6
-7.13E-05,-8.88E-05,-1.44E-04,-3.21E-04,-4.16E-04,-3.46E-04,baseline,2,1,-9.5
-7.40E-05,-8.05E-05,-1.35E-04,-3.29E-04,-4.25E-04,-3.72E-04,baseline,2,1,-9.4
-7.07E-05,-6.47E-05,-1.14E-04,-3.07E-04,-4.06E-04,-3.75E-04,baseline,2,1,-9.3
-6.21E-05,-4.65E-05,-8.17E-05,-2.44E-04,-3.54E-04,-3.57E-04,baseline,2,1,-9.2
-5.16E-05,-2.97E-05,-4.41E-05,-1.54E-04,-2.88E-04,-3.33E-04,baseline,2,1,-9.1
-4.21E-05,-1.61E-05,-1.10E-05,-7.45E-05,-2.39E-04,-3.17E-04,baseline,2,1,-9
-3.44E-05,-6.54E-06,9.20E-06,-3.91E-05,-2.24E-04,-3.21E-04,baseline,2,1,-8.9
-2.85E-05,-1.54E-06,1.58E-05,-5.92E-05,-2.38E-04,-3.46E-04,baseline,2,1,-8.8
-2.41E-05,-1.16E-06,1.59E-05,-1.12E-04,-2.57E-04,-3.81E-04,baseline,2,1,-8.7
-2.06E-05,-3.84E-06,1.92E-05,-1.55E-04,-2.56E-04,-3.99E-04,baseline,2,1,-8.6
-1.57E-05,-6.77E-06,2.91E-05,-1.53E-04,-2.18E-04,-3.66E-04,baseline,2,1,-8.5
-6.43E-06,-7.52E-06,4.05E-05,-1.02E-04,-1.47E-04,-2.65E-04,baseline,2,1,-8.4
7.65E-06,-5.88E-06,4.42E-05,-2.64E-05,-5.60E-05,-1.18E-04,baseline,2,1,-8.3
2.19E-05,-4.44E-06,3.50E-05,3.43E-05,3.29E-05,1.61E-05,baseline,2,1,-8.2
2.91E-05,-6.96E-06,1.60E-05,5.38E-05,9.75E-05,8.15E-05,baseline,2,1,-8.1
2.57E-05,-1.52E-05,-4.19E-06,3.41E-05,1.24E-04,6.84E-05,baseline,2,1,-8
1.57E-05,-2.62E-05,-1.72E-05,1.38E-06,1.17E-04,1.99E-05,baseline,2,1,-7.9
8.97E-06,-3.24E-05,-1.99E-05,-1.37E-05,9.70E-05,-1.45E-06,baseline,2,1,-7.8
1.25E-05,-2.63E-05,-1.35E-05,5.16E-06,8.86E-05,3.83E-05,baseline,2,1,-7.7
2.50E-05,-6.67E-06,-2.03E-06,5.28E-05,1.07E-04,1.22E-04,baseline,2,1,-7.6
3.80E-05,1.86E-05,9.75E-06,1.07E-04,1.43E-04,1.98E-04,baseline,2,1,-7.5
4.33E-05,3.64E-05,1.71E-05,1.39E-04,1.69E-04,2.18E-04,baseline,2,1,-7.4
3.99E-05,3.82E-05,1.74E-05,1.33E-04,1.55E-04,1.71E-04,baseline,2,1,-7.3
3.35E-05,2.71E-05,1.15E-05,9.09E-05,9.72E-05,8.78E-05,baseline,2,1,-7.2
2.99E-05,1.51E-05,4.15E-06,3.81E-05,2.26E-05,2.14E-05,baseline,2,1,-7.1
2.99E-05,1.29E-05,1.00E-06,7.00E-06,-2.43E-05,1.52E-05,baseline,2,1,-7
2.94E-05,2.10E-05,3.97E-06,1.99E-05,-9.97E-06,8.17E-05,baseline,2,1,-6.9
2.42E-05,2.96E-05,9.33E-06,7.46E-05,6.51E-05,1.95E-04,baseline,2,1,-6.8
1.50E-05,2.90E-05,1.06E-05,1.44E-04,1.64E-04,3.01E-04,baseline,2,1,-6.7
5.72E-06,1.86E-05,4.41E-06,1.89E-04,2.36E-04,3.47E-04,baseline,2,1,-6.6
-3.52E-07,6.83E-06,-6.15E-06,1.85E-04,2.44E-04,3.18E-04,baseline,2,1,-6.5
-3.61E-06,2.98E-06,-1.26E-05,1.41E-04,1.95E-04,2.45E-04,baseline,2,1,-6.4
-6.35E-06,8.64E-06,-7.15E-06,9.13E-05,1.33E-04,1.87E-04,baseline,2,1,-6.3
-8.72E-06,1.86E-05,1.21E-05,7.70E-05,1.06E-04,1.84E-04,baseline,2,1,-6.2
-7.31E-06,2.82E-05,3.96E-05,1.16E-04,1.39E-04,2.38E-04,baseline,2,1,-6.1
1.60E-06,3.81E-05,6.62E-05,1.92E-04,2.13E-04,3.06E-04,baseline,2,1,-6
1.75E-05,5.13E-05,8.46E-05,2.61E-04,2.79E-04,3.42E-04,baseline,2,1,-5.9
3.45E-05,6.67E-05,9.33E-05,2.83E-04,2.99E-04,3.22E-04,baseline,2,1,-5.8
4.58E-05,7.76E-05,9.68E-05,2.52E-04,2.72E-04,2.61E-04,baseline,2,1,-5.7
4.92E-05,7.79E-05,1.02E-04,2.02E-04,2.39E-04,2.03E-04,baseline,2,1,-5.6
4.94E-05,7.01E-05,1.12E-04,1.82E-04,2.48E-04,1.96E-04,baseline,2,1,-5.5
5.41E-05,6.51E-05,1.25E-04,2.23E-04,3.24E-04,2.68E-04,baseline,2,1,-5.4
6.69E-05,7.29E-05,1.37E-04,3.13E-04,4.47E-04,4.12E-04,baseline,2,1,-5.3
8.42E-05,9.31E-05,1.45E-04,4.10E-04,5.68E-04,5.83E-04,baseline,2,1,-5.2
9.83E-05,1.15E-04,1.49E-04,4.69E-04,6.42E-04,7.13E-04,baseline,2,1,-5.1
1.03E-04,1.26E-04,1.55E-04,4.80E-04,6.57E-04,7.57E-04,baseline,2,1,-5
9.97E-05,1.25E-04,1.68E-04,4.69E-04,6.33E-04,7.22E-04,baseline,2,1,-4.9
9.36E-05,1.22E-04,1.87E-04,4.80E-04,6.11E-04,6.67E-04,baseline,2,1,-4.8
9.16E-05,1.27E-04,2.09E-04,5.35E-04,6.17E-04,6.60E-04,baseline,2,1,-4.7
9.68E-05,1.46E-04,2.28E-04,6.22E-04,6.58E-04,7.29E-04,baseline,2,1,-4.6
1.08E-04,1.72E-04,2.42E-04,7.06E-04,7.15E-04,8.38E-04,baseline,2,1,-4.5
1.20E-04,1.96E-04,2.54E-04,7.60E-04,7.63E-04,9.20E-04,baseline,2,1,-4.4
1.30E-04,2.10E-04,2.63E-04,7.76E-04,7.79E-04,9.25E-04,baseline,2,1,-4.3
1.35E-04,2.13E-04,2.67E-04,7.64E-04,7.63E-04,8.67E-04,baseline,2,1,-4.2
1.36E-04,2.08E-04,2.66E-04,7.39E-04,7.31E-04,8.02E-04,baseline,2,1,-4.1
1.36E-04,2.00E-04,2.60E-04,7.10E-04,7.10E-04,7.90E-04,baseline,2,1,-4
1.40E-04,1.95E-04,2.54E-04,6.87E-04,7.18E-04,8.49E-04,baseline,2,1,-3.9
1.50E-04,1.95E-04,2.55E-04,6.78E-04,7.56E-04,9.54E-04,baseline,2,1,-3.8
1.67E-04,2.05E-04,2.65E-04,6.88E-04,8.10E-04,1.06E-03,baseline,2,1,-3.7
1.83E-04,2.20E-04,2.78E-04,7.08E-04,8.54E-04,1.12E-03,baseline,2,1,-3.6
1.93E-04,2.31E-04,2.88E-04,7.15E-04,8.71E-04,1.12E-03,baseline,2,1,-3.5
1.94E-04,2.30E-04,2.89E-04,6.90E-04,8.53E-04,1.04E-03,baseline,2,1,-3.4
1.89E-04,2.17E-04,2.86E-04,6.37E-04,8.10E-04,9.33E-04,baseline,2,1,-3.3
